Fund,Fund Manager,Category,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,25-Oct,25-Nov,25-Dec,26-Jan,classification
Baroda BNP Paribas Childrens Fund Reg(G),Pratish Krishnan,HY-SOL,3.22,3.68,4.32,-1.79,-1.2,0.81,4.97,2.16,-0.4,-2.5,Hybrid : Solution Oriented
Baroda BNP Paribas Conservative Hybrid Fund Reg(G),Pratish Krishnan,HY-DT(CO),1.81,1.57,0.3,-0.3,-0.79,0.62,1.6,0.82,-0.06,-0.84,Hybrid : Debt Oriented (Conservative)
Baroda BNP Paribas Corp Bond Fund(G),Gurvinder Singh Wasan,DT-CORP,1.56,1.29,0.07,0.6,-0.15,0.78,0.78,0.56,0.02,-0.1,Debt : Corporate Bond
Baroda BNP Paribas Credit Risk Fund Reg(G),Gurvinder Singh Wasan,DT-CR,1.15,1.08,0.36,0.53,0.27,0.82,0.66,0.54,0.37,0.12,Debt : Credit Risk
Baroda BNP Paribas Dividend Yield Fund Reg(G),Jitendra Sriram,EQ-DIV,2.34,2.49,3.76,-2.81,-2.07,1.36,3.56,1.02,0.51,-2.34,Equity : Thematic - Dividend Yield
Baroda BNP Paribas Dynamic Bond Fund(G),Gurvinder Singh Wasan,DT-DYN,2.08,0.52,-1.23,0.22,-1.39,1.06,0.45,-0.05,0.25,-0.41,Debt : Dynamic Bond
Baroda BNP Paribas ELSS Tax Saver Fund Reg(G),Sanjay Chawla,EQ-ELSS,2.8,3.52,2.82,-1.79,-1.21,0.29,4.75,2.47,-0.7,-2.82,Equity : Tax Saving (ELSS)
Baroda BNP Paribas Energy Opportunities Fund Reg(G),Sanjay Chawla,EQ-POWER,2.27,3.44,1.97,-2.28,-2.58,3.06,2.97,-1.36,0.14,-0.29,Equity : Sectoral - Energy / Power
Baroda BNP Paribas Equity Savings Fund Reg(G),Pratish Krishnan,HY-EQ,1.99,2,1.51,-0.75,-0.73,0.58,2.53,1.12,-0.36,-0.84,Hybrid : Equity Oriented
Baroda BNP Paribas Flexi Cap Fund Reg(G),Sanjay Chawla,EQ-FLEX,3.11,4.5,2.95,-1.32,-3.06,-0.5,4.58,1.62,-1,-2.95,Equity : Flexi Cap
Baroda BNP Paribas Focused Fund Reg(G),Sanjay Chawla,EQ-FLEX,5.29,2.34,4.41,-2.83,-4.38,0.7,5.34,1.54,-0.77,-4.46,Equity : Flexi Cap
Baroda BNP Paribas Gilt Fund Reg(G),Gurvinder Singh Wasan,DT-GILT,2.11,0.88,-0.72,0.18,-1.78,1.03,0.55,0.1,0.21,-0.13,Debt : Gilt
Baroda BNP Paribas Gold ETF,Gurvinder Singh Wasan,GOLD-ETF,3.93,1.13,0.6,2.39,3.81,12.17,4.8,4.47,5.06,23.41,Gold : ETFs
Baroda BNP Paribas Gold ETF FoF Reg(G),Gurvinder Singh Wasan,FOF-DOM,-,-,-,-,-,12.2,4.43,3.77,6.18,23.63,FoFs : Domestic
Baroda BNP Paribas Health and Wellness Fund Reg(G),Sanjay Chawla,EQ-PHRM,-,-,-,0.99,-4.12,-2.39,2.12,0.13,-2.11,-4.22,Equity : Sectoral - Pharma
Baroda BNP Paribas Income Plus Arbitrage Active FoF Reg(G),Vikram Pamnani,FOF-DOM,-,-,0.28,0.58,0.1,0.62,0.69,0.55,0.25,0.15,FoFs : Domestic
Baroda BNP Paribas India Consumption Fund Reg(G),Pratish Krishnan,EQ-CONS,3.99,-0.11,2.75,-0.64,2.26,-0.02,1.22,-0.08,-0.22,-6.82,Equity : Thematic - Consumption
Baroda BNP Paribas Innovation Fund Reg(G),Pratish Krishnan,EQ-THEM,2.93,5.3,3.74,-0.87,-0.42,-0.16,4.14,2.08,-2.24,-3.56,Equity : Thematic
Baroda BNP Paribas Large & Mid Cap Fund Reg(G),Sanjay Chawla,EQ-L&M,3.02,3.09,3.78,-2.89,-2.2,0,5.22,1,-0.07,-3.23,Equity : Large & Mid Cap
Baroda BNP Paribas Large Cap Fund Reg(G),Jitendra Sriram,EQ-LC,2.8,2.62,2.82,-2.79,-1.24,0.08,3.48,2.05,-0.56,-2.48,Equity : Large Cap
Baroda BNP Paribas Liquid Fund(G),Vikram Pamnani,DT-LIQ,0.57,0.55,0.49,0.47,0.46,0.47,0.47,0.47,0.5,0.45,Debt : Liquid
Baroda BNP Paribas Low Duration Fund(G),Vikram Pamnani,DT-LOWD,0.87,0.68,0.55,0.54,0.35,0.51,0.49,0.46,0.39,0.19,Debt : Low Duration
Baroda BNP Paribas Manufacturing Fund Reg(G),Jitendra Sriram,EQ-THEM,2.63,5.63,2.37,-0.08,-1.44,1.12,2.85,1.96,-0.21,-2.01,Equity : Thematic
Baroda BNP Paribas Mid Cap Fund Reg(G),Pratish Krishnan,EQ-MID,2.5,4.7,3.26,-1.6,-1.82,1.19,3.78,1.62,-0.42,-1.64,Equity : Mid Cap
Baroda BNP Paribas Money Market Fund Reg(G),Vikram Pamnani,DT-MM,0.82,0.66,0.63,0.57,0.44,0.53,0.51,0.48,0.48,0.24,Debt : Money Market
Baroda BNP Paribas Multi Asset Active FoF Reg(G),Gurvinder Singh Wasan,FOF-DOM,-,-,0.51,0.35,0.37,3.06,2.07,1.44,1.24,4.52,FoFs : Domestic
Baroda BNP Paribas Multi Asset Fund Reg(G),Jitendra Sriram,HY-MULTI,2.99,2.95,1.24,-0.98,-0.6,1.88,3.23,2.42,0.22,1.36,Hybrid : Multi Asset Allocation
Baroda BNP Paribas Multi Cap Fund Reg(G),Sanjay Chawla,EQ-MLC,2.18,4.01,2.88,-1.66,-0.95,-0.12,4.21,0.3,-1.38,-3.95,Equity : Multi Cap
Baroda BNP Paribas Nifty 50 Index Fund Reg(G),Neeraj Saxena,EQ-INDX,3.42,1.87,3.28,-2.83,-1.26,0.68,4.55,1.88,-0.3,-3.11,Equity : Index Funds
Baroda BNP Paribas NIFTY Bank ETF,Neeraj Saxena,EQ-ETF,6.81,1.34,3.1,-2.27,-3.9,1.78,5.71,3.41,-0.27,-0.02,Equity : ETFs
Baroda BNP Paribas NIFTY Midcap 150 Index Fund Reg(G),Neeraj Saxena,EQ-INDX,3.89,6.25,4.02,-2.84,-2.82,1.29,4.64,1.58,-0.61,-3.63,Equity : Index Funds
Baroda BNP Paribas NIFTY SDL Dec 2026 Index Fund Reg(G),Gurvinder Singh Wasan,DT-M&LD,1.14,0.98,0.39,0.63,0.11,0.37,0.77,0.45,0.41,0.31,Debt : Medium to Long Duration
Baroda BNP Paribas NIFTY SDL Dec 2028 Index Fund Reg(G),Gurvinder Singh Wasan,DT-M&LD,2.09,1.25,0.41,0.39,-1.1,0.7,1.14,0.42,0.5,0,Debt : Medium to Long Duration
Baroda BNP Paribas Nifty200 Momentum 30 Index Fund Reg(G),Neeraj Saxena,EQ-INDX,3.75,4.32,4.19,-5.28,-1.93,0.56,5.22,2.18,-3.51,-2.77,Equity : Index Funds
Baroda BNP Paribas Overnight Fund Reg(G),Vikram Pamnani,DT-ON,0.48,0.48,0.43,0.44,0.45,0.44,0.45,0.43,0.44,0.44,Debt : Overnight
Baroda BNP Paribas Retirement Fund Reg(G),Pratish Krishnan,HY-SOL,3.21,2.76,2.4,-1.51,-1.45,0.89,3.82,1.62,-0.5,-2.28,Hybrid : Solution Oriented
Baroda BNP Paribas Short Duration Fund Reg(G),Gurvinder Singh Wasan,DT-SD,1.5,1.09,0.15,0.56,-0.06,0.58,0.74,0.47,0.1,-0.08,Debt : Short Duration
Baroda BNP Paribas Small Cap Fund Reg(G),Sanjay Chawla,EQ-SML,1.92,7.4,3.28,-1.73,-2.62,0.5,2.82,-1.38,-0.53,-2.55,Equity : Small Cap
Baroda BNP Paribas Ultra Short Duration Fund Reg(G),Vikram Pamnani,DT-USD,0.71,0.63,0.62,0.54,0.43,0.52,0.5,0.47,0.47,0.25,Debt : Ultra Short Duration
Baroda BNP Paribas Value Fund Reg(G),Jitendra Sriram,EQ-VAL,1.77,2.07,2.48,-3.32,-1.99,1.45,3.32,0.82,0.56,-2.08,Equity : Value / Contra
Bharat 22 ETF,Nishit Patel,EQ-ETF,1.35,3.04,1.74,-3.17,-1.94,4.95,5.55,-0.28,1.62,1.95,Equity : ETFs
BHARAT Bond ETF   April 2030,Dhawal Dalal,DT-ETF,1.55,1.41,-0.11,0.72,-0.14,0.66,1.01,0.61,-0.07,-0.32,Debt : ETFs
BHARAT Bond ETF   April 2031,Dhawal Dalal,DT-ETF,1.66,1.63,-0.39,0.69,-0.23,0.59,1.16,0.54,-0.12,-0.46,Debt : ETFs
BHARAT Bond ETF   April 2032,Dhawal Dalal,DT-ETF,1.93,1.52,-0.49,0.59,-0.39,0.85,1.05,0.57,-0.11,-0.43,Debt : ETFs
BHARAT Bond ETF   April 2033,Dhawal Dalal,DT-ETF,1.97,1.53,-0.62,0.47,-0.37,0.66,0.98,0.65,-0.09,-0.35,Debt : ETFs
BHARAT Bond ETF FOF   April 2032  Reg(G),Hetul Raval,FOF-DOM,2.24,1.44,-0.7,0.59,-0.27,0.87,1.09,0.75,-0.28,-0.91,FoFs : Domestic
BHARAT Bond ETF FOF   April 2033  Reg(G),Hetul Raval,FOF-DOM,2.31,1.61,-0.91,0.4,-0.47,0.86,0.97,0.59,-0.12,-0.74,FoFs : Domestic
BHARAT Bond FOF   April 2030  Reg(G),Hetul Raval,FOF-DOM,1.99,1.13,-0.22,0.65,-0.13,0.78,1.12,0.57,-0.17,-0.34,FoFs : Domestic
BHARAT Bond FOF   April 2031  Reg(G),Hetul Raval,FOF-DOM,2.01,1.77,-0.67,0.68,-0.25,0.69,0.93,0.66,-0.09,-0.65,FoFs : Domestic
Canara Rob Balanced Advantage Fund Reg(G),Ennettee Fernandes,HY-DYN,2.16,2.32,1.97,-1.25,-1.27,1.09,2.84,0.48,-0.66,-2.19,Hybrid : Dynamic Asset Allocation
Canara Rob Banking and PSU Debt Fund Reg(G),Suman Prasad,DT-B&PSU,1.28,0.83,-0.02,0.51,0.01,0.56,0.78,0.43,0.12,-0.18,Debt : Banking & PSU
Canara Rob Conservative Hybrid Fund Reg(G),Avnish Jain,HY-DT(CO),1.51,1.66,0.38,0.17,-0.45,0.27,0.86,0.06,-0.33,-0.86,Hybrid : Debt Oriented (Conservative)
Canara Rob Consumer Trends Fund Reg(G),Ennettee Fernandes,EQ-CONS,4.21,3.13,3.56,-1.57,-0.82,-0.16,2.72,0.59,-1.24,-6.5,Equity : Thematic - Consumption
Canara Rob Corp Bond Fund Reg(G),Avnish Jain,DT-CORP,1.24,0.75,-0.12,0.49,-0.23,0.6,0.69,0.43,0.01,-0.02,Debt : Corporate Bond
Canara Rob Dynamic Bond Fund Reg(G),Kunal Jain,DT-DYN,2.15,0.25,-1.76,0.36,-1.84,0.95,0.54,0.08,0.03,-0.16,Debt : Dynamic Bond
Canara Rob ELSS Tax Saver Reg(G),Vishal Mishra,EQ-ELSS,3.08,4.48,2.96,-2.36,-1.43,0.85,3.44,0.89,-0.75,-2.88,Equity : Tax Saving (ELSS)
Canara Rob Equity Hybrid Fund Reg(G),Ennettee Fernandes,HY-EQ,2.94,3.07,2.58,-1.76,-1.24,1.09,2.94,0.43,-0.39,-2.06,Hybrid : Equity Oriented
Canara Rob Flexi Cap Fund Reg(G),Shridatta Bhandwaldar,EQ-FLEX,3.38,3.82,4.05,-1.79,-0.67,0.33,3.29,0.88,-0.96,-3.21,Equity : Flexi Cap
Canara Rob Focused Fund Reg(G),Shridatta Bhandwaldar,EQ-MLC,1.8,3.91,4.49,-1.53,-0.65,0.45,3.47,0.58,-1.25,-2.98,Equity : Multi Cap
Canara Rob Gilt Fund Reg(G),Kunal Jain,DT-GILT,2.21,0.22,-1.81,0.35,-1.94,1.33,0.32,-0.12,0.32,-0.23,Debt : Gilt
Canara Rob Income Fund Reg(G),Avnish Jain,DT-M&LD,1.53,0.45,-0.7,0.35,-0.86,0.77,0.27,0.11,0.04,0,Debt : Medium to Long Duration
Canara Rob Infrastructure Fund Reg(G),Vishal Mishra,EQ-INFRA,1.99,7.53,2.98,-1.64,-2.28,2.15,2.9,-2.17,-2.19,-1.13,Equity : Sectoral - Infrastructure
Canara Rob Large and Mid Cap Fund Reg(G),Amit Nadekar,EQ-L&M,3.34,4.29,3.8,-2.52,-0.45,-0.45,2.83,-0.4,-2.16,-3.84,Equity : Large & Mid Cap
Canara Rob Large Cap Fund Reg(G),Shridatta Bhandwaldar,EQ-LC,3.41,1.98,3.25,-2.23,-1.55,0.55,3.86,1.26,-0.8,-2.81,Equity : Large Cap
Canara Rob Liquid Fund Reg(G),Kunal Jain,DT-LIQ,0.6,0.55,0.5,0.48,0.47,0.47,0.48,0.47,0.5,0.42,Debt : Liquid
Canara Rob Manufacturing Fund Reg(G),Pranav Gokhale,EQ-THEM,2.57,8.33,3.39,-0.96,-0.57,1.54,2.64,-1.17,-2.21,-3.55,Equity : Thematic
Canara Rob Mid Cap Fund Reg(G),Pranav Gokhale,EQ-MID,3.02,8.02,5.43,-2.06,-0.47,-0.35,3.83,-0.17,-1.59,-3.01,Equity : Mid Cap
Canara Rob Multi Asset Allocation Fund Reg(G),Amit Kadam,HY-MULTI,-,-,1.5,-0.1,-0.3,1.78,3.01,1.79,1.2,1.47,Hybrid : Multi Asset Allocation
Canara Rob Multi Cap Fund Reg(G),Shridatta Bhandwaldar,EQ-MLC,2.99,5.21,4.53,-2.1,-1.59,0.63,3.56,0.74,-0.27,-3.62,Equity : Multi Cap
Canara Rob Overnight Fund Reg(G),Suman Prasad,DT-ON,0.47,0.48,0.43,0.45,0.45,0.44,0.45,0.43,0.43,0.44,Debt : Overnight
Canara Rob Savings Fund Reg(G),Kunal Jain,DT-LOWD,0.91,0.74,0.59,0.57,0.32,0.56,0.53,0.5,0.39,0.17,Debt : Low Duration
Canara Rob Short Duration Fund Reg(G),Suman Prasad,DT-SD,1.25,0.94,0.1,0.56,-0.04,0.62,0.6,0.42,0.15,0.03,Debt : Short Duration
Canara Rob Small Cap Fund Reg(G),Pranav Gokhale,EQ-SML,2.53,7.34,5.1,-1.81,-3.84,1.44,2.91,-2.01,0.03,-3.33,Equity : Small Cap
Canara Rob Ultra Short Term Fund Reg(G),Kunal Jain,DT-USD,0.71,0.57,0.57,0.49,0.39,0.47,0.44,0.43,0.42,0.2,Debt : Ultra Short Duration
Capitalmind Flexi Cap Fund Reg(G),Anoop Vijaykumar,EQ-FLEX,-,-,-,-,-,-1.45,4.91,0.96,0.24,-0.86,Equity : Flexi Cap
Capitalmind Liquid Fund Reg(G),Prateek Jain,DT-LIQ,-,-,-,-,-,-,-,-,0.68,0.44,Debt : Liquid
Choice Gold ETF,Rochan Pattnayak,GOLD-ETF,-,-,-,-,-,-,-,-,5.05,23.21,Gold : ETFs
CPSE ETF,Jitendra Tolani,EQ-ETF,1.95,3.04,2.87,-3.83,-3.26,5.46,2.41,-3.34,0.04,7.05,Equity : ETFs
Diviniti Equity Long Short Fund Reg(G),Vasav Sahgal,HY-EQ,-,-,-,-,-,-,-,-,-,-1.35,Hybrid : Equity Oriented
DSP 10Y G Sec Fund Reg(G),Shantanu Godambe,DT-GL10Y,1.93,0.99,-0.27,0.06,-0.99,0.64,0.76,0.33,-0.12,-0.17,Debt : Gilt (10 Yr Constant Duration)
DSP Aggressive Hybrid Fund Reg(G),Abhishek Singh,HY-EQ,2.98,1.7,1.48,-1.3,-2.06,0.92,2.16,1.06,-0.06,-2.77,Hybrid : Equity Oriented
DSP Arbitrage Fund Reg(G),Kaivalya Nadkarni,HY-ARB,0.63,0.35,0.54,0.5,0.39,0.34,0.5,0.49,0.55,0.53,Hybrid : Arbitrage
DSP Banking & Financial Services Fund Reg(G),Preethi R S,EQ-FIN,2.65,4.83,3.15,-3.63,-3.11,4.13,4.4,2.42,0.77,-0.13,Equity : Sectoral - Financial Services
DSP Banking & PSU Debt Fund Reg(G),Shantanu Godambe,DT-B&PSU,1.6,0.97,-0.4,0.62,-0.33,0.69,0.74,0.41,0.11,-0.24,Debt : Banking & PSU
DSP Bond Fund Reg(G),Vivekanand Ramakrishnan,DT-MD,1.56,1.2,-0.1,0.59,-0.15,0.56,0.78,0.49,-0.06,-0.22,Debt : Medium Duration
DSP BSE Liquid Rate ETF,Anil Ghelani,DT-ETF,0.46,0.45,0.43,0.42,0.43,0.42,0.43,0.41,0.42,0.4,Debt : ETFs
DSP BSE Sensex ETF,Anil Ghelani,EQ-ETF,3.66,1.74,2.96,-2.76,-1.55,0.58,4.69,2.14,-0.55,-3.44,Equity : ETFs
DSP BSE Sensex Next 30 ETF,Anil Ghelani,EQ-ETF,1.91,2.74,5.14,-2.56,-1.33,1.76,4.16,0.23,1.21,-0.71,Equity : ETFs
DSP BSE Sensex Next 30 Index Fund Reg(G),Anil Ghelani,EQ-INDX,1.82,2.65,5.06,-2.63,-1.39,1.69,4.07,0.16,1.14,-0.79,Equity : Index Funds
DSP Business Cycle Fund Reg(G),Vinit Sambre,EQ-THEM,2.06,2.66,4.06,-2.29,-1.74,1.5,3.35,0.97,-0.59,-1.06,Equity : Thematic
DSP Corp Bond Fund Reg(G),Shantanu Godambe,DT-CORP,1.18,0.97,0.45,0.58,0.28,0.56,0.56,0.49,0.31,0.14,Debt : Corporate Bond
DSP Credit Risk Fund Reg(G),Vivekanand Ramakrishnan,DT-CR,1.06,1.55,0.31,0.41,0,0.55,0.56,0.41,0.31,0.09,Debt : Credit Risk
DSP CRISIL IBX 50:50 Gilt Plus SDL   April 2033 Index Fund Reg(G),Shantanu Godambe,DT-LD,1.99,1.26,-0.56,0.37,-1.22,0.67,0.71,0.72,-0.29,0.29,Debt : Long Duration
DSP Dynamic Asset Allocation Fund Reg(G),Rohit Singhania,HY-DYN,1.46,1.82,0.64,0.04,-0.8,1.04,2.02,1.06,0.15,-0.9,Hybrid : Dynamic Asset Allocation
DSP ELSS Tax Saver Fund Reg(G),Rohit Singhania,EQ-ELSS,2.68,2.45,2.88,-2.42,-2.82,1.82,3.17,2.22,0.39,-2.02,Equity : Tax Saving (ELSS)
DSP Equity Savings Fund Reg(G),Abhishek Singh,HY-EQ,1.73,0.5,0.61,0.07,-0.75,0.53,1.13,0.86,0.22,-0.52,Hybrid : Equity Oriented
DSP Flexi Cap Fund Reg(G),Bhavin Gandhi,EQ-FLEX,1.71,4.15,2.68,-2.93,-1.69,1.86,2.41,1.27,-0.51,-2.84,Equity : Flexi Cap
DSP Floater Fund Reg(G),Shantanu Godambe,DT-FL,1.49,0.84,0.15,0.46,0.18,0.52,0.72,0.42,0.22,0.06,Debt : Floater
DSP FMP 264 60M & 17D Reg(G),Shantanu Godambe,DT-FMP,1.06,0.93,0.41,0.61,0.19,0.63,0.54,0.46,0.48,0.41,Debt : FTP/FMP
DSP FMP 267 1246D Reg(G),Sandeep Yadav,DT-FMP,1.02,0.7,0.52,0.48,0.37,0.43,0.51,0.44,0.53,0.4,Debt : FTP/FMP
DSP FMP 268 1281D Reg(G),Sandeep Yadav,DT-FMP,0.83,0.75,0.53,0.44,0.37,0.51,0.49,0.43,0.49,0.41,Debt : FTP/FMP
DSP FMP 270 1144D Reg(G),Sandeep Yadav,DT-FMP,1.02,0.69,0.52,0.47,0.37,0.43,0.51,0.44,0.53,0.4,Debt : FTP/FMP
DSP Focused Fund Reg(G),Bhavin Gandhi,EQ-MLC,1.15,3.99,1.88,-1.48,-3.46,2.25,2.79,2.55,-0.71,-2.67,Equity : Multi Cap
DSP Gilt Fund Reg(G),Shantanu Godambe,DT-GILT,2.28,0.2,-1.87,0.69,-1.84,1.51,0.14,-0.48,1.01,-0.13,Debt : Gilt
DSP Global Clean Energy Overseas Equity Omni FoF Reg(G),Kaivalya Nadkarni,FOF-OVR,1.77,11.61,4.53,9.17,3,5.09,5.94,-0.9,3.37,10.14,FoFs : Overseas
DSP Global Innovation Overseas Equity Omni FoF Reg(G),Kaivalya Nadkarni,FOF-OVR,0.08,7.93,6.55,4.9,1.08,6.96,3.85,-2.65,0.74,4.2,FoFs : Overseas
DSP Gold ETF,Ravi Gehani,GOLD-ETF,5.74,1.14,0.6,2.41,3.86,12.26,4.85,4.51,5.11,23.44,Gold : ETFs
DSP Gold ETF FoF Reg(G),Anil Ghelani,GOLD-MF,6.59,0.09,0.56,2.79,3.54,12.55,4.4,4.2,5.86,19.55,Gold : MFs
DSP Healthcare Fund Reg(G),Chirag Dagli,EQ-PHRM,-0.74,1.94,3.09,3.36,-3.1,-1.45,2.06,1.85,-2.04,-4.87,Equity : Sectoral - Pharma
DSP Income Plus Arbitrage Omni FoF Reg(G),Kaivalya Nadkarni,FOF-OVR,1.09,0.72,-0.06,0.56,-0.06,0.55,0.65,0.43,0.26,0.07,FoFs : Overseas
DSP India T.I.G.E.R Fund Reg(G),Rohit Singhania,EQ-INFRA,0.93,7.22,3.34,-2.1,-2.23,1.69,2.8,-0.92,-0.77,-1.79,Equity : Sectoral - Infrastructure
DSP Large & Mid Cap Fund Reg(G),Rohit Singhania,EQ-L&M,2.4,2.49,3.07,-2.66,-2.13,1.67,3.12,2.01,0.71,-1.95,Equity : Large & Mid Cap
DSP Large Cap Fund Reg(G),Abhishek Singh,EQ-LC,3.33,1.82,1.84,-2.15,-1.95,1.38,2.74,1.85,-0.26,-2.58,Equity : Large Cap
DSP Liquidity Fund Reg(G),Karan Mundhra,DT-LIQ,0.58,0.56,0.51,0.49,0.47,0.47,0.48,0.48,0.5,0.45,Debt : Liquid
DSP Low Duration Fund Reg(G),Karan Mundhra,DT-LOWD,0.88,0.76,0.52,0.57,0.3,0.55,0.55,0.47,0.37,0.16,Debt : Low Duration
DSP Midcap Fund Reg(G),Vinit Sambre,EQ-MID,2.59,6.19,4.58,-1.14,-1.62,0.62,2.35,1.3,-1.23,-2.66,Equity : Mid Cap
DSP MSCI India ETF,Anil Ghelani,EQ-ETF,-,-,-,-,-,-,-,-,-0.07,-2.88,Equity : ETFs
DSP Multi Asset Allocation Fund Reg(G),Aparna Karnik,HY-MULTI,1.12,3.04,2.33,-0.01,-0.1,5.08,3.34,1.37,2.82,5.27,Hybrid : Multi Asset Allocation
DSP Multicap Fund Reg(G),Chirag Dagli,EQ-MLC,2.01,7.54,3.17,-0.97,-1.97,0.94,1.55,0.04,-0.61,-4.66,Equity : Multi Cap
DSP Natural Res & New Energy Fund Reg(G),Rohit Singhania,EQ-POWER,-1.16,4.73,2.24,-1.08,-1.69,6.82,4.08,-1.85,5.34,5.52,Equity : Sectoral - Energy / Power
DSP NIFTY 1D Rate Liquid ETF,Anil Ghelani,DT-ETF,0.46,0.45,0.43,0.42,0.43,0.42,0.41,0.41,0.42,0.4,Debt : ETFs
DSP Nifty 50 Equal Weight ETF,Anil Ghelani,EQ-ETF,3.41,2.43,3.83,-3.12,0.48,1.48,4.23,1.07,0.33,-1.86,Equity : ETFs
DSP Nifty 50 Equal Weight Index Fund Reg(G),Anil Ghelani,EQ-INDX,3.34,2.36,3.76,-3.18,0.42,1.4,4.16,1.05,0.26,-1.92,Equity : Index Funds
DSP Nifty 50 ETF,Anil Ghelani,EQ-ETF,3.48,1.92,3.34,-2.76,-1.21,0.77,4.61,1.91,-0.26,-3.04,Equity : ETFs
DSP NIFTY 50 Index Fund Reg(G),Anil Ghelani,EQ-INDX,3.45,1.89,3.32,-2.79,-1.23,0.74,4.58,1.88,-0.29,-3.07,Equity : Index Funds
DSP Nifty Bank ETF,Anil Ghelani,EQ-ETF,6.82,1.35,3.09,-2.26,-3.91,1.81,5.74,3.41,-0.31,0.03,Equity : ETFs
DSP Nifty Bank Index Fund Reg(G),Anil Ghelani,EQ-INDX,6.77,1.3,3.03,-2.31,-3.96,1.75,5.66,3.35,-0.37,-0.03,Equity : Index Funds
DSP Nifty Healthcare ETF,Anil Ghelani,EQ-PHRM,2.71,-1.17,4.21,3.12,-3.54,-1.49,3.91,2.28,-2.62,-5.11,Equity : Sectoral - Pharma
DSP Nifty Healthcare Index Fund Reg(G),Anil Ghelani,EQ-PHRM,-,-,-,2.97,-3.61,-1.57,3.82,2.23,-2.68,-5.14,Equity : Sectoral - Pharma
DSP Nifty IT ETF,Anil Ghelani,EQ-ETF,-2.85,4.7,4.51,-9.05,-0.35,-4.36,6.87,4.74,1.42,0.88,Equity : ETFs
DSP Nifty IT Index Fund Reg(G),Anil Ghelani,EQ-INDX,-,-,-,-8.99,-0.42,-4.42,6.65,4.6,1.28,0.8,Equity : Index Funds
DSP Nifty Midcap 150 ETF,Anil Ghelani,EQ-ETF,-,-,-,-,-,-,-,-,-,-3.51,Equity : ETFs
DSP Nifty Midcap 150 Index Fund Reg(G),Anil Ghelani,EQ-INDX,-,-,-,-,-,-,-,-,-,-3.59,Equity : Index Funds
DSP Nifty Midcap 150 Quality 50 ETF,Anil Ghelani,EQ-ETF,4.08,6.44,3.21,-2.42,-3.26,-0.17,2.51,0.57,-1.06,-3.88,Equity : ETFs
DSP Nifty Midcap 150 Quality 50 Index Fund Reg(G),Anil Ghelani,EQ-INDX,4.05,6.38,3.15,-2.46,-3.31,-0.23,2.46,0.52,-1.12,-3.93,Equity : Index Funds
DSP NIFTY Next 50 Index Fund Reg(G),Anil Ghelani,EQ-INDX,2.29,3.51,3.4,-2.65,-1.82,3.13,2.93,-0.97,0.27,-2.22,Equity : Index Funds
DSP Nifty Private Bank ETF,Anil Ghelani,EQ-ETF,6.66,0.45,2.68,-4.03,-3.59,1.54,5.99,2.62,-0.26,-0.6,Equity : ETFs
DSP Nifty Private Bank Index Fund Reg(G),Anil Ghelani,EQ-INDX,6.54,0.34,2.58,-4.12,-3.65,1.38,5.89,2.54,-0.36,-0.66,Equity : Index Funds
DSP Nifty PSU Bank ETF,Anil Ghelani,EQ-ETF,4.44,7.26,3.17,-4.84,-1.4,11.39,8.73,4.02,0.21,5.74,Equity : ETFs
DSP Nifty SDL Plus G Sec Jun 2028 30:70 Index Fund Reg(G),Shantanu Godambe,DT-M&LD,1.55,1.16,0.21,0.54,-0.19,0.8,0.69,0.47,0.48,0.3,Debt : Medium to Long Duration
DSP Nifty SDL Plus G Sec Sep 2027 50:50 Index Fund Reg(G),Shantanu Godambe,DT-M&LD,1.43,1.09,0.25,0.62,0.06,0.6,0.62,0.51,0.39,0.38,Debt : Medium to Long Duration
DSP Nifty Smallcap 250 ETF,Anil Ghelani,EQ-ETF,-,-,-,-,-,-,-,-,-,-5.51,Equity : ETFs
DSP Nifty Smallcap 250 Index Fund Reg(G),Anil Ghelani,EQ-INDX,-,-,-,-,-,-,-,-,-,-5.58,Equity : Index Funds
DSP Nifty Smallcap250 Quality 50 Index Fund Reg(G),Anil Ghelani,EQ-INDX,1.08,10.66,4.34,-3.8,-3.15,-1.19,3.09,-2.87,-1.43,-5.42,Equity : Index Funds
DSP Nifty Top 10 Equal Weight ETF,Anil Ghelani,EQ-ETF,2.91,1.24,2.68,-4.65,-2.03,-0.31,6.17,2.26,0.45,-4.53,Equity : ETFs
DSP Nifty Top 10 Equal Weight Index Fund Reg(G),Anil Ghelani,EQ-INDX,2.81,1.17,2.61,-4.73,-2.09,-0.39,6.08,2.2,0.37,-4.59,Equity : Index Funds
DSP Nifty500 Flexicap Quality 30 ETF,Anil Ghelani,EQ-ETF,-,-,-,-,-,-,-,0.83,-1.64,-1.68,Equity : ETFs
DSP Nifty500 Flexicap Quality 30 Index Fund Reg(G),Anil Ghelani,EQ-INDX,-,-,-,-,-,-1.23,5.03,0.74,-1.72,-1.74,Equity : Index Funds
DSP Overnight Fund Reg(G),Karan Mundhra,DT-ON,0.48,0.48,0.43,0.44,0.45,0.43,0.45,0.43,0.44,0.44,Debt : Overnight
DSP Quant Fund Reg(G),Aparna Karnik,EQ-THEM,1.94,2.31,4.57,-2.17,-0.95,0.25,3.7,2.53,0.8,-2.67,Equity : Thematic
